example_id,readout_position,readout_prompt_token,n_workspace_layers,all_entropy_topk_mean,all_entropy_topk_std,all_entropy_topk_min,all_entropy_topk_max,all_entropy_topk_slope,all_entropy_topk_last3_slope,all_top1_dominance_last3_max_minus_mean,all_effective_concepts_topk_mean,all_top1_dominance_topk_mean,all_top1_margin_mean,all_distinct_top1_count,all_top1_churn_rate,all_top5_jaccard_adjacent_mean,all_answer_token_best_rank,all_answer_token_mean_rank,mid_entropy_topk_mean,mid_entropy_topk_std,mid_entropy_topk_min,mid_entropy_topk_max,mid_entropy_topk_slope,mid_entropy_topk_last3_slope,mid_top1_dominance_last3_max_minus_mean,mid_effective_concepts_topk_mean,mid_top1_dominance_topk_mean,mid_top1_margin_mean,mid_distinct_top1_count,mid_top1_churn_rate,mid_top5_jaccard_adjacent_mean,mid_answer_token_best_rank,mid_answer_token_mean_rank,late_entropy_topk_mean,late_entropy_topk_std,late_entropy_topk_min,late_entropy_topk_max,late_entropy_topk_slope,late_entropy_topk_last3_slope,late_top1_dominance_last3_max_minus_mean,late_effective_concepts_topk_mean,late_top1_dominance_topk_mean,late_top1_margin_mean,late_distinct_top1_count,late_top1_churn_rate,late_top5_jaccard_adjacent_mean,late_answer_token_best_rank,late_answer_token_mean_rank,late_late_entropy_topk_mean,late_late_entropy_topk_std,late_late_entropy_topk_min,late_late_entropy_topk_max,late_late_entropy_topk_slope,late_late_entropy_topk_last3_slope,late_late_top1_dominance_last3_max_minus_mean,late_late_effective_concepts_topk_mean,late_late_top1_dominance_topk_mean,late_late_top1_margin_mean,late_late_distinct_top1_count,late_late_top1_churn_rate,late_late_top5_jaccard_adjacent_mean,late_late_answer_token_best_rank,late_late_answer_token_mean_rank,workspace_noise_score,layer_l33_entropy_topk,layer_l33_top1_dominance_topk,layer_l33_top1_margin,layer_l33_answer_token_rank,layer_l34_entropy_topk,layer_l34_top1_dominance_topk,layer_l34_top1_margin,layer_l34_answer_token_rank,layer_l33_l34_entropy_diff
ex_01824_dpql-1773,31, ,22,1.2469154315238649,1.010542890581781,0.07935880869626999,3.4267148971557617,0.09742538987294487,-0.4686794281005858,0.08892162144184113,6.228233676623358,0.6915842660448768,2.252840909090909,6,0.23809523809523808,0.49867724867724866,1.0,122924.86363636363,0.6639405685392293,0.6324507468208024,0.07935880869626999,2.3156192302703857,-0.019262848591262618,0.038763809949159636,0.01121973991394043,2.529378559807375,0.8646595613522963,3.4204545454545454,1,0.0,0.6047619047619048,146707.0,150379.81818181818,2.1445435732603073,0.979395955811043,0.5223935842514038,3.4267148971557617,0.3557731154419126,-0.4686794281005858,0.08892162144184113,12.637756067625773,0.4459094852209091,0.9921875,6,0.7142857142857143,0.3191609977324263,1.0,80829.375,2.767402911186218,0.522355472113088,1.9108778238296509,3.4267148971557617,0.10501613616943353,-0.4686794281005858,0.08892162144184113,18.003848023467434,0.3104118943214417,0.8625,5,1.0,0.11805555555555555,1.0,44099.6,2.767402911186218,2.9516353607177734,0.26201191544532776,0.4375,943.0,2.48935604095459,0.3395785093307495,0.5,1.0,0.4622793197631836
ex_00409_qz-2260,31, ,22,2.270384281873703,0.9916139756556396,0.576216995716095,3.5745506286621094,-0.10956366586523635,-0.27702224254608143,0.2141098280747732,14.651506301843902,0.39028400352055376,0.9375,14,0.7619047619047619,0.4229024943310657,1.0,83753.13636363637,2.980263731696389,0.5698160875463328,1.8223531246185303,3.5745506286621094,-0.05333126458254721,0.2625021934509276,0.21777039766311646,22.647345076210936,0.24341187626123428,0.625,8,0.9,0.19285714285714284,88510.0,130238.90909090909,1.1334546878933907,0.4234850577413693,0.576216995716095,1.696398138999939,0.10073211150509977,-0.27702224254608143,0.2141098280747732,3.3868548759953008,0.6221752054989338,1.34375,4,0.42857142857142855,0.7414965986394559,1.0,8164.125,1.2584547758102418,0.40450252339972964,0.6179232597351074,1.696398138999939,0.08714810609817505,-0.27702224254608143,0.2141098280747732,3.7935492655811474,0.5604497373104096,0.9,3,0.5,0.6904761904761904,1.0,67.0,1.2584547758102418,1.696398138999939,0.4125050902366638,0.375,2.0,0.9587093591690063,0.7303904891014099,1.375,1.0,0.7376887798309326
ex_04506_qw-14240,51, ,22,2.044074746695432,0.9473334587796607,0.27273988723754883,3.534529209136963,-0.04124718053000312,0.44892454147338906,0.08580976476271948,11.337085501498107,0.43009987710551784,0.9289772727272727,7,0.5238095238095238,0.4862055933484504,106.0,105550.04545454546,2.2181472019715742,0.8118246544553482,0.908452033996582,3.234351873397827,-0.20548110333355996,-0.17234677076339722,0.06987436612447107,12.089996567311433,0.38928053595803,0.9204545454545454,4,0.5,0.45634920634920634,136885.0,147639.81818181818,1.7133349925279617,1.1551989436679568,0.27273988723754883,3.534529209136963,0.3982482935701097,0.44892454147338906,0.08580976476271948,10.58160420695519,0.5114705683663487,1.0078125,4,0.8571428571428571,0.5192743764172335,106.0,57325.0,2.1820434093475343,1.1718499029106062,0.5781633853912354,3.534529209136963,0.8027992248535155,0.44892454147338906,0.08580976476271948,15.17365111452772,0.3649160102009773,0.4375,3,1.0,0.4682539682539682,106.0,22315.8,2.1820434093475343,3.138052463531494,0.18573696911334991,0.375,1075.0,3.534529209136963,0.09843211621046066,0.1875,106.0,-0.39647674560546875
ex_04012_qw-7149,74, ,22,2.4243654839017172,0.9182277408219747,0.3780331313610077,3.7834043502807617,-0.10249556640593227,-0.364715665578842,0.18572820226351416,15.360996127823393,0.3623828190294179,1.0014204545454546,13,0.7142857142857143,0.40419501133786845,1.0,37848.181818181816,2.953006527640603,0.39140962860427464,2.1691701412200928,3.7834043502807617,-0.0025305076078932826,0.2561161518096925,0.09667148192723593,20.726264896906265,0.2212899706580422,0.5198863636363636,6,0.6,0.5075396825396826,1075.0,55965.545454545456,1.5466320402920246,0.9215082328279961,0.3780331313610077,2.8685481548309326,-0.34525206507671424,-0.364715665578842,0.18572820226351416,7.026298161530102,0.5827753636986017,1.7734375,5,0.7142857142857143,0.35487528344671204,1.0,36.875,0.9662937939167022,0.5766598657141456,0.3780331313610077,1.7631882429122925,-0.19435933530330668,-0.364715665578842,0.18572820226351416,3.1058211532866693,0.7501696765422821,2.5125,3,0.5,0.39880952380952384,1.0,3.2,0.9662937939167022,0.37967586517333984,0.9250389933586121,3.0,1.0,0.7905701994895935,0.8374014496803284,2.9375,1.0,-0.41089433431625366
ex_03657_qw-2135,38, ,22,2.589498983188109,0.770477454373481,0.660408079624176,3.7006211280822754,-0.04801308331282239,-0.317686915397644,0.10685868064562482,17.030410376170586,0.330944299697876,0.8068181818181818,14,0.6666666666666666,0.2970521541950114,2.0,119892.86363636363,2.5970955924554304,0.9817490838217409,0.660408079624176,3.7006211280822754,-0.23820577859878533,-0.38325303792953486,0.12417705853780114,19.494442626170898,0.36867817559025506,1.1704545454545454,6,0.5,0.3063492063492063,135474.0,144784.72727272726,2.468508154153824,0.5039735313296795,1.5833518505096436,3.2124722003936768,-0.028561458701179064,-0.317686915397644,0.10685868064562482,13.268091156961871,0.3011531587690115,0.4375,7,0.8571428571428571,0.30498866213151926,2.0,78079.875,2.411476564407349,0.47761411923100205,1.5833518505096436,2.8014307022094727,0.12433106899261474,-0.317686915397644,0.10685868064562482,12.302018490031838,0.29983955025672915,0.375,4,0.75,0.3988095238095238,2.0,40278.0,2.411476564407349,2.8014307022094727,0.1992749273777008,,156.0,2.161452531814575,0.39404693245887756,0.75,2.0,0.6399781703948975
ex_02286_wh-267,56, ,22,1.9686103571544995,1.0130397401703406,0.6903299689292908,3.5864627361297607,-0.101245891973839,0.7814910709857943,0.28377302487691247,11.972272703287098,0.4342111592943018,0.8409090909090909,14,0.7142857142857143,0.4618291761148904,85.0,109616.5,2.3828018632802097,1.0411117070228852,0.7851671576499939,3.5864627361297607,-0.18738176497546108,-0.1384654045104978,0.051964590946833256,17.163742642290998,0.3664866509762677,0.8295454545454546,10,0.9,0.2757936507936508,115023.0,139273.0909090909,1.1727881208062172,0.46483514979628593,0.6903299689292908,2.253312110900879,0.0837668513967878,0.7814910709857943,0.28377302487691247,3.6834064604293326,0.5474147610366344,0.6640625,3,0.42857142857142855,0.7976190476190476,85.0,71625.0,1.200711476802826,0.5692023624367903,0.6903299689292908,2.253312110900879,0.3269393920898437,0.7814910709857943,0.28377302487691247,4.0117099670730685,0.572623336315155,0.7875,3,0.5,0.8333333333333333,85.0,42148.0,1.200711476802826,1.339847207069397,0.3987482190132141,0.25,251.0,2.253312110900879,0.3523157238960266,0.1875,85.0,-0.9134649038314819
ex_01679_dpql-99,33, ,22,1.5595737218496983,1.1985834743130148,0.003478989703580737,3.368952751159668,-0.09036217011126906,0.17650881409645092,0.07415628433227539,8.772196195228217,0.5909924747591669,2.4545454545454546,9,0.47619047619047616,0.44671201814058953,14.0,102872.5,2.5610600168054756,0.4842430593219712,2.0095787048339844,3.368952751159668,-0.04858948750929395,0.03902769088745134,0.03573896487553918,14.646614502930023,0.3664696128530936,1.0113636363636365,7,0.6,0.3075396825396825,116507.0,142211.0909090909,0.33988825147389434,0.3981015102577535,0.003478989703580737,1.0656063556671143,0.15724179552524303,0.17650881409645092,0.07415628433227539,1.52933588716352,0.8419937267899513,4.328125,2,0.42857142857142855,0.7976190476190476,14.0,39224.125,0.5406175002455711,0.3822661059200601,0.06389378756284714,1.0656063556671143,0.25932250171899796,0.17650881409645092,0.07415628433227539,1.8437239551731388,0.7475134849548339,1.975,2,0.75,1.0,14.0,13522.8,0.5406175002455711,0.7253992557525635,0.6669996380805969,0.75,63.0,1.0656063556671143,0.5517319440841675,0.875,14.0,-0.3402070999145508
ex_08935_bt-1153,35, ,22,1.9190798049623317,0.5697828710899575,0.8661962747573853,3.028470993041992,0.01557679579528562,-0.3921150565147398,0.10141803820927942,7.998798881393793,0.44746229594404047,0.8181818181818182,10,0.5714285714285714,0.47278911564625853,50.0,117837.63636363637,2.150953086939725,0.49683691680616904,1.3538179397583008,3.028470993041992,0.06160226301713432,0.023154735565186022,0.06969862182935077,9.746135835171968,0.38656060939485376,0.6363636363636364,5,0.5,0.5174603174603175,139531.0,146972.63636363635,1.875653237104416,0.4726782349609142,1.2603298425674438,2.5270299911499023,-0.10427902426038461,-0.3921150565147398,0.10141803820927942,7.276305605463046,0.4526545461267233,0.875,6,0.7142857142857143,0.3662131519274376,50.0,88986.5,1.6868446826934815,0.4114922346465991,1.2603298425674438,2.251361131668091,-0.13721917867660535,-0.3921150565147398,0.10141803820927942,5.891618482139458,0.5553586304187774,1.25,3,0.5,0.36408730158730157,50.0,54027.0,1.6868446826934815,1.2603298425674438,0.7146965861320496,1.75,650.0,1.4671310186386108,0.7125178575515747,2.25,50.0,-0.206801176071167
ex_01424_qb-7796,48, ,22,2.1548996709964494,0.8012008324863072,0.1344589740037918,3.5040736198425293,-0.044188339862696865,0.5023220777511599,0.040891557931900024,11.205298897614485,0.40587427230043843,0.90625,11,0.7619047619047619,0.5100151171579742,1.0,105039.09090909091,2.466570095582442,0.49801241387161926,1.6174287796020508,3.5040736198425293,0.05520589568398216,-0.327056884765625,0.038683176040649414,13.443645175185372,0.3348557237874378,0.6931818181818182,7,0.9,0.38253968253968246,127372.0,143314.63636363635,1.5223330799490213,0.8797685489254843,0.1344589740037918,2.991337299346924,0.3346499859222343,0.5023220777511599,0.040891557931900024,6.715181018208437,0.5604978576302528,1.4296875,4,0.5714285714285714,0.6706349206349207,1.0,49783.75,2.0152547001838683,0.6993846515958688,0.9748976826667786,2.991337299346924,0.4933422923088073,0.5023220777511599,0.040891557931900024,9.438655323901429,0.4362419009208679,1.0375,3,0.75,0.6458333333333333,1.0,27801.2,2.0152547001838683,2.511944532394409,0.33154812455177307,1.0,105.0,2.991337299346924,0.257362425327301,0.6875,1.0,-0.47939276695251465
ex_09674_qg-1460,50, ,22,2.398367613554001,0.9446310772545293,0.12938399612903595,3.607081413269043,-0.06505358974722268,-1.228105328977108,0.20668415228525794,15.179290650241933,0.36167705499313096,0.9630681818181818,12,0.6666666666666666,0.2673847316704459,1.0,52845.72727272727,2.279067938978022,0.6547466458797485,1.1471186876296997,3.331942558288574,-0.048727565461938994,-0.12364590167999251,0.06674851973851526,11.974714390036388,0.3710611408407038,0.7386363636363636,5,0.7,0.3563492063492063,20741.0,78680.09090909091,2.194096200168133,1.1955517556030477,0.12938399612903595,3.2997493743896484,-0.3889501822136694,-1.228105328977108,0.20668415228525794,14.078652543142784,0.4316603485494852,1.5234375,5,0.5714285714285714,0.22562358276643993,1.0,21432.25,1.7514552474021912,1.3198576914944782,0.12938399612903595,3.2997493743896484,-0.7895956858992578,-1.228105328977108,0.20668415228525794,11.066781314044995,0.5821329921483993,2.1875,4,0.75,0.16269841269841268,1.0,1642.0,1.7514552474021912,0.21004031598567963,0.969223141670227,4.0625,1.0,0.12938399612903595,0.9741727113723755,3.6875,1.0,0.08065631985664368
