noise_decile,n,wrong_rate,mean_noise,mean_conf
0,81,0.5925925925925926,0.39135700062130735,0.7867463495996263
1,80,0.75,1.0792129161953927,0.8182655908167362
2,81,0.9012345679012346,1.5488403788664276,0.790231857770755
3,80,0.8875,1.886252527581528,0.7757633797824383
4,81,0.9753086419753086,2.110232002982571,0.7753136393464641
5,80,1.0,2.266313573606312,0.7306567393243313
6,80,0.9625,2.4371844866871832,0.7506368577480316
7,81,0.9259259259259259,2.637734529486409,0.7310413769733759
8,80,0.975,2.8692482917755844,0.7529959633946419
9,81,0.9753086419753086,3.1760416142734478,0.706056911268352
