label_regime,feature_set,real_roc_auc,perm_auc_mean,perm_auc_ci_low,perm_auc_ci_high,p_perm_ge_real,permutation_n
expanded_deterministic,baseline_output_confidence,0.6909727700123056,0.4978387025526141,0.4036648471271259,0.5896041712681034,0.0,500
expanded_deterministic,combined_compact,0.6954532546619127,0.4994054838607894,0.4049048685829678,0.5955455463351528,0.0,500
expanded_deterministic,combined_full,0.7059603066923295,0.4996549395765627,0.3985903827343577,0.5907787208531853,0.0,500
expanded_deterministic,commitment_dynamics_full,0.6102609409017764,0.5031418294260562,0.4134319881361815,0.5977621241283564,0.016,500
expanded_deterministic,commitment_dynamics_single,0.5848925630265359,0.4986554128671946,0.40700706780677126,0.5886236708421418,0.028,500
expanded_deterministic,layer_l33_diff,0.42321648313507715,0.501030448363992,0.4179369261351087,0.5932627078534692,0.964,500
expanded_deterministic,layer_l33_diff_in_full,0.6229451298393966,0.49905032657053605,0.40403795790868646,0.5869947622503391,0.002,500
expanded_deterministic,layer_l33_full,0.6332313129082131,0.502122298299309,0.404973495724608,0.5901871075631843,0.0,500
expanded_deterministic,layer_l33_single,0.6183068816457894,0.501102262329221,0.4052117186760483,0.5933479001672294,0.008,500
expanded_deterministic,workspace_compact,0.6116492600889787,0.5012762439655445,0.4142807560029029,0.5924462815132677,0.016,500
expanded_deterministic,workspace_full,0.652415359858644,0.49933777174770455,0.41166819171425867,0.5921441643265074,0.0,500
expanded_deterministic,workspace_late_late_full,0.6235130785977976,0.498237339475594,0.40585697157100936,0.584412961852775,0.0,500
expanded_deterministic,workspace_late_late_single,0.6223771810809958,0.5019569621051968,0.41157668885873855,0.591202315968826,0.008,500
expanded_deterministic,workspace_noise_single,0.6223771810809958,0.4990935537815921,0.40998091061117603,0.5828763449342126,0.0,500
high_quality_primary,baseline_output_confidence,0.7432819011149905,0.49975510755715735,0.43302398918797164,0.5743000337875886,0.0,500
high_quality_primary,combined_compact,0.7527874760671247,0.4995546795810339,0.4265733753801103,0.5702607275594098,0.0,500
high_quality_primary,combined_full,0.7523820250028156,0.5002362878702556,0.4253857416375718,0.5682627548147313,0.0,500
high_quality_primary,commitment_dynamics_full,0.5652438337650637,0.49858578668769005,0.42325036603221083,0.5759409843450838,0.04,500
high_quality_primary,commitment_dynamics_single,0.5757630363779705,0.5004382475503999,0.4305265232571236,0.5746260840184706,0.022,500
high_quality_primary,layer_l33_diff,0.5813717761009123,0.5017514134474603,0.4294470097984007,0.5704780943799976,0.012,500
high_quality_primary,layer_l33_diff_in_full,0.6508165333934002,0.5011350377294741,0.4240691519315238,0.573289221759207,0.0,500
high_quality_primary,layer_l33_full,0.5795021961932649,0.4997545669557383,0.4201295190899876,0.5772671472012614,0.024,500
high_quality_primary,layer_l33_single,0.6023426061493411,0.5003066561549724,0.4341508052708638,0.565870593535308,0.004,500
high_quality_primary,workspace_compact,0.5748169838945828,0.5018726883658069,0.42720970830048427,0.5760451627435522,0.028,500
high_quality_primary,workspace_full,0.6505687577429891,0.4976708187858993,0.42378195742763825,0.5692245748395088,0.0,500
high_quality_primary,workspace_late_late_full,0.6666291249014529,0.5001669557382589,0.4216195517513233,0.5808610203851785,0.0,500
high_quality_primary,workspace_late_late_single,0.6173893456470323,0.503461651086834,0.43048992003604003,0.5865469084356346,0.002,500
high_quality_primary,workspace_noise_single,0.6173893456470323,0.49948629350152046,0.4306109922288546,0.5690961820024777,0.0,500
primary_with_llm_judge,baseline_output_confidence,0.7432819011149905,0.5010885460074334,0.43325656042347116,0.5808334271877464,0.0,500
primary_with_llm_judge,combined_compact,0.7527874760671247,0.5000830273679469,0.4291665728122536,0.5719844577092015,0.0,500
primary_with_llm_judge,combined_full,0.7523820250028156,0.5011449938056087,0.42912377519990985,0.5701103727897285,0.0,500
primary_with_llm_judge,commitment_dynamics_full,0.5652438337650637,0.49891393174907084,0.42677553778578675,0.5730797387093141,0.042,500
primary_with_llm_judge,commitment_dynamics_single,0.5757630363779705,0.4998605698839959,0.4273842775087284,0.5703604009460526,0.02,500
primary_with_llm_judge,layer_l33_diff,0.5813717761009123,0.5000825768667643,0.4215339565266359,0.5760840184705485,0.016,500
primary_with_llm_judge,layer_l33_diff_in_full,0.6508165333934002,0.5002926455681946,0.4292921500168938,0.5849938056087397,0.0,500
primary_with_llm_judge,layer_l33_full,0.5795021961932649,0.49961000112625287,0.42871325599729704,0.5744706611104854,0.014,500
primary_with_llm_judge,layer_l33_single,0.6023426061493411,0.5019663475616624,0.4281439351278297,0.5698062844914968,0.0,500
primary_with_llm_judge,workspace_compact,0.5748169838945828,0.5025433044261741,0.43522581371776103,0.5705614370987724,0.022,500
primary_with_llm_judge,workspace_full,0.6505687577429891,0.5006734542178173,0.42903536434283135,0.5739278071854939,0.0,500
primary_with_llm_judge,workspace_late_late_full,0.6666291249014529,0.49989953823628785,0.4225582835904944,0.5754859781506927,0.0,500
primary_with_llm_judge,workspace_late_late_single,0.6173893456470323,0.5031253970041671,0.4254105192026129,0.5787825205541165,0.002,500
primary_with_llm_judge,workspace_noise_single,0.6173893456470323,0.49686640387431014,0.4183044261741187,0.5715255096294627,0.002,500
strict,baseline_output_confidence,0.8042831076538941,0.49662153077883414,0.34624027657735523,0.6592768654566408,0.0,500
strict,combined_compact,0.7988091808316529,0.49942783059636986,0.35324834341688277,0.6391793911456833,0.0,500
strict,combined_full,0.707192931912033,0.49755747623163354,0.3433064438682416,0.6484442523768366,0.002,500
strict,commitment_dynamics_full,0.672428694900605,0.4996880822049361,0.33322769614904446,0.6529626428502833,0.01,500
strict,commitment_dynamics_single,0.5858062037837318,0.5029899164505907,0.3413473542687026,0.6699102083933546,0.146,500
strict,layer_l33_diff,0.5436473638720829,0.5015432632286565,0.34562085854220687,0.6457649092480553,0.324,500
strict,layer_l33_diff_in_full,0.7084413713627197,0.4992505521943724,0.33789253817343706,0.6470349563046192,0.004,500
strict,layer_l33_full,0.676077979448766,0.5075225199270144,0.3477408047632766,0.6563382310573322,0.014,500
strict,layer_l33_single,0.6751176414097763,0.5006970133486988,0.3423052914625948,0.6519206760779793,0.006,500
strict,workspace_compact,0.6560069144338807,0.504058004417555,0.35070584845865743,0.6479928934985114,0.022,500
strict,workspace_full,0.5970421588399115,0.49870277537693264,0.3564174589455488,0.6658383751080379,0.116,500
strict,workspace_late_late_full,0.6844329203879765,0.49768904254297514,0.3405718813022183,0.6576995102276001,0.014,500
strict,workspace_late_late_single,0.6816479400749064,0.5061494285988667,0.3371050609814655,0.6776625372130988,0.024,500
strict,workspace_noise_single,0.6816479400749064,0.4960653029866513,0.3326082781138961,0.6685537309132814,0.01,500
