noise_decile,n,wrong_rate,mean_noise,mean_conf
0,36,0.8055555555555556,0.45599835963027247,0.8081844217247434
1,36,0.8611111111111112,0.899085178777265,0.7886542826890945
2,35,0.7714285714285715,1.1448362312811826,0.8036500096321106
3,36,0.9166666666666666,1.3835881018183298,0.791391940580474
4,35,0.9428571428571428,1.555257601740637,0.7826640197208949
5,36,0.9722222222222222,1.7664143268432884,0.7615714222192764
6,35,0.8571428571428571,1.9807447374292784,0.7722610933440072
7,36,0.9444444444444444,2.1929049369361664,0.7584414415889316
8,35,0.8857142857142857,2.356620083110673,0.7714784962790353
9,36,0.8888888888888888,2.731660759449005,0.7426156948010126
