label_regime,feature_set,feature,coefficient_for_wrong
primary_with_llm_judge,combined_compact,first_content_token_prob,-0.63680410541963
primary_with_llm_judge,combined_compact,sequence_content_logprob_mean,-0.6679965043854709
primary_with_llm_judge,combined_compact,answer_length_content_tokens,-0.6241988296417984
primary_with_llm_judge,combined_compact,late_entropy_topk_mean,0.4562878745524828
primary_with_llm_judge,combined_compact,late_top1_dominance_topk_mean,-0.009084313968161298
primary_with_llm_judge,combined_compact,late_top1_churn_rate,-0.4238436625563749
primary_with_llm_judge,combined_full,first_content_token_prob,-0.5992056595921669
primary_with_llm_judge,combined_full,sequence_content_logprob_mean,-0.609860168587772
primary_with_llm_judge,combined_full,answer_length_content_tokens,-0.5789741852321532
primary_with_llm_judge,combined_full,late_entropy_topk_mean,0.9762732096736032
primary_with_llm_judge,combined_full,late_entropy_topk_std,-0.08794188932268657
primary_with_llm_judge,combined_full,late_entropy_topk_slope,0.4534812188627597
primary_with_llm_judge,combined_full,late_effective_concepts_topk_mean,-0.6588134719595645
primary_with_llm_judge,combined_full,late_top1_dominance_topk_mean,-0.4784042131462027
primary_with_llm_judge,combined_full,late_top1_margin_mean,0.4256564814355276
primary_with_llm_judge,combined_full,late_distinct_top1_count,-0.28536570590212795
primary_with_llm_judge,combined_full,late_top1_churn_rate,-0.2579842576080429
primary_with_llm_judge,combined_full,late_top5_jaccard_adjacent_mean,-0.055917684989679105
