label_regime,feature_set,real_roc_auc,perm_auc_mean,perm_auc_ci_low,perm_auc_ci_high,p_perm_ge_real,permutation_n
expanded_deterministic,baseline_output_confidence,0.7974410599467427,0.4992804247580697,0.4655480775475742,0.5336260310450087,0.0,500
expanded_deterministic,combined_compact,0.8005065921932845,0.4978486328505553,0.4636187244268364,0.5333556861726311,0.0,500
expanded_deterministic,combined_full,0.7996460349418717,0.5002166525946612,0.46268152886926023,0.5357490907319608,0.0,500
expanded_deterministic,commitment_dynamics_full,0.5549490160420861,0.5016235760213028,0.46726172306293434,0.539253994284601,0.002,500
expanded_deterministic,commitment_dynamics_single,0.5613106449308306,0.5001588945898552,0.4643297395596545,0.5370554328765343,0.0,500
expanded_deterministic,layer_l33_diff,0.5713970253945573,0.49967879457037084,0.46345188997856723,0.5352493180489706,0.0,500
expanded_deterministic,layer_l33_diff_in_full,0.6136032993440281,0.4994875690069494,0.46398040202636875,0.5348166850685199,0.0,500
expanded_deterministic,layer_l33_full,0.5537312463466909,0.5005118269792816,0.4681568649736962,0.535508297070858,0.0,500
expanded_deterministic,layer_l33_single,0.5620607910631941,0.49904517113723457,0.46366978956939664,0.5369247255958953,0.0,500
expanded_deterministic,workspace_compact,0.5529616158992012,0.4998723127882055,0.46238025264661947,0.5372475969344678,0.002,500
expanded_deterministic,workspace_full,0.6001753588361368,0.5009781450932,0.46719563876079756,0.536128547769046,0.0,500
expanded_deterministic,workspace_late_late_full,0.604101448334091,0.5014927778138598,0.4677371403520167,0.5365073553289602,0.0,500
expanded_deterministic,workspace_late_late_single,0.5835552380333832,0.4999312918100929,0.46486515230239656,0.5340642657660583,0.0,500
expanded_deterministic,workspace_noise_single,0.5835552380333832,0.5011856140806651,0.46474597324154054,0.5343915210755341,0.0,500
high_quality_primary,baseline_output_confidence,0.8467125424350859,0.49997396458390686,0.4622392880080741,0.5360389944031563,0.0,500
high_quality_primary,combined_compact,0.8451931369850445,0.4995813634278374,0.4609130195430774,0.5373931553353518,0.0,500
high_quality_primary,combined_full,0.8406826314340765,0.5009620038535646,0.4645595008716396,0.5379883475548215,0.0,500
high_quality_primary,commitment_dynamics_full,0.5655124323332416,0.5004728213597578,0.4651475364712359,0.5381146894210479,0.0,500
high_quality_primary,commitment_dynamics_single,0.5715533535186715,0.5002777649325627,0.4646002385539958,0.5389589870630332,0.0,500
high_quality_primary,layer_l33_diff,0.5848169556840077,0.5008114359115515,0.46067529131112944,0.537552436003303,0.0,500
high_quality_primary,layer_l33_diff_in_full,0.6405431690980825,0.4997020644095788,0.46378227360308283,0.5389768786127168,0.0,500
high_quality_primary,layer_l33_full,0.5692228644829801,0.49914842095605105,0.463504816955684,0.5361002844297642,0.0,500
high_quality_primary,layer_l33_single,0.5795687677768602,0.49919354069180655,0.46159390769795394,0.5352191944215066,0.0,500
high_quality_primary,workspace_compact,0.5628956785026149,0.5014514726121663,0.46529699972474536,0.5358884301312047,0.004,500
high_quality_primary,workspace_full,0.6173997614460043,0.5012654592164418,0.46759721075328015,0.5363325993210386,0.0,500
high_quality_primary,workspace_late_late_full,0.6359592623176439,0.49871724745389484,0.4643457197908065,0.5305295898706304,0.0,500
high_quality_primary,workspace_late_late_single,0.5898302596568493,0.501443604000367,0.4597822736030828,0.5380999174236168,0.0,500
high_quality_primary,workspace_noise_single,0.5898302596568493,0.5004804257271309,0.4657624552711258,0.5368733828791632,0.0,500
primary_with_llm_judge,baseline_output_confidence,0.8442429899831257,0.5013934513337881,0.46601012458263025,0.5363682547660934,0.0,500
primary_with_llm_judge,combined_compact,0.8431587261695329,0.49909060424370794,0.45996194305819843,0.5369923347574768,0.0,500
primary_with_llm_judge,combined_full,0.8443076149786377,0.5015449682260439,0.46093535705310024,0.5385735827379455,0.0,500
primary_with_llm_judge,commitment_dynamics_full,0.561501454062399,0.5017545040031595,0.46716439880802785,0.5400493663160163,0.002,500
primary_with_llm_judge,commitment_dynamics_single,0.5697662729328977,0.4995665816967652,0.46141896743618277,0.5357769360571571,0.0,500
primary_with_llm_judge,layer_l33_diff,0.5796826194664848,0.5000205579291279,0.46770347897892506,0.5342028686317453,0.0,500
primary_with_llm_judge,layer_l33_diff_in_full,0.6361146016587081,0.5004450077190967,0.4643287078591175,0.5353498725451478,0.0,500
primary_with_llm_judge,layer_l33_full,0.57363659210857,0.5002722076616523,0.4610700822173554,0.5378860445912469,0.0,500
primary_with_llm_judge,layer_l33_single,0.5814310846228413,0.5003092952285212,0.4642191146375615,0.5356421211359638,0.0,500
primary_with_llm_judge,workspace_compact,0.5566868918967436,0.5000865113273256,0.46271766057516245,0.5371115319714214,0.002,500
primary_with_llm_judge,workspace_full,0.6191361792266542,0.4991937672782106,0.46371171866585287,0.5359571679890855,0.0,500
primary_with_llm_judge,workspace_late_late_full,0.631371845043622,0.4983859763759738,0.4639280328869422,0.5323983053890066,0.0,500
primary_with_llm_judge,workspace_late_late_single,0.5885362438516497,0.5012609198291028,0.46504272430258864,0.5365752342656087,0.0,500
primary_with_llm_judge,workspace_noise_single,0.5885362438516497,0.5000163860266399,0.4644458406634833,0.5378206117832909,0.0,500
strict,baseline_output_confidence,0.7974410599467427,0.49930754042995384,0.4658740339027083,0.5345855523803338,0.0,500
strict,combined_compact,0.8005065921932845,0.5008443722803143,0.4650049522634279,0.5375707930116257,0.0,500
strict,combined_full,0.7996460349418717,0.5000886081704228,0.462887088393843,0.5345636325258167,0.0,500
strict,commitment_dynamics_full,0.5549490160420861,0.5003189257647594,0.4678907417029291,0.537586218094434,0.004,500
strict,commitment_dynamics_single,0.5613106449308306,0.4996594596349938,0.4649103721504189,0.531768688705592,0.0,500
strict,layer_l33_diff,0.5713970253945573,0.4992322465415341,0.46480913489640835,0.5338251769825291,0.0,500
strict,layer_l33_diff_in_full,0.6136032993440281,0.5001115736831852,0.46338759173865035,0.5355631778917971,0.0,500
