noise_decile,n,wrong_rate,mean_noise,mean_conf
0,86,0.08139534883720931,0.49724161008177975,0.9040767668291579
1,85,0.07058823529411765,0.802353700220804,0.8953911914544948
2,85,0.07058823529411765,0.9663496508164442,0.9151574843070086
3,86,0.19767441860465115,1.1340928296980903,0.8993242493895597
4,85,0.15294117647058825,1.3122113488658385,0.8921748778399299
5,85,0.21176470588235294,1.4555399135544018,0.8813484640682445
6,86,0.12790697674418605,1.627138669372991,0.8561854646649472
7,85,0.18823529411764706,1.8037535349498777,0.8667164809563581
8,85,0.15294117647058825,2.019654327052481,0.8546570918139289
9,86,0.13953488372093023,2.4063806282226428,0.8595058370468228
