label_regime,feature_set,feature,coefficient_for_wrong
primary_with_llm_judge,combined_compact,first_content_token_prob,-0.8757327495490774
primary_with_llm_judge,combined_compact,sequence_content_logprob_mean,-0.62202522972436
primary_with_llm_judge,combined_compact,answer_length_content_tokens,-0.3652862917357882
primary_with_llm_judge,combined_compact,late_entropy_topk_mean,0.4691260133124346
primary_with_llm_judge,combined_compact,late_top1_dominance_topk_mean,0.5124527169750442
primary_with_llm_judge,combined_compact,late_top1_churn_rate,0.12168480124156458
primary_with_llm_judge,combined_full,first_content_token_prob,-0.9064965114578623
primary_with_llm_judge,combined_full,sequence_content_logprob_mean,-0.6292594841767518
primary_with_llm_judge,combined_full,answer_length_content_tokens,-0.3620700420279132
primary_with_llm_judge,combined_full,late_entropy_topk_mean,0.8350262430817781
primary_with_llm_judge,combined_full,late_entropy_topk_std,0.2826414494125951
primary_with_llm_judge,combined_full,late_entropy_topk_slope,-0.11596069490532375
primary_with_llm_judge,combined_full,late_effective_concepts_topk_mean,-0.1549347786799132
primary_with_llm_judge,combined_full,late_top1_dominance_topk_mean,0.9478305155875096
primary_with_llm_judge,combined_full,late_top1_margin_mean,-0.3105493372512998
primary_with_llm_judge,combined_full,late_distinct_top1_count,-0.058487873701955816
primary_with_llm_judge,combined_full,late_top1_churn_rate,0.2175784307610772
primary_with_llm_judge,combined_full,late_top5_jaccard_adjacent_mean,0.14843557511342725
